TEV,MHO,MM805,MRAA004
2022,8,7623,273.178
2022,8,4108,273.586
2022,8,5510,343.046
2022,8,5520,159.388
2022,8,1100,127.911
2022,8,1300,106.315
2022,8,1400,104.226
2022,8,5910,3.243
2022,8,1200,71.64
2022,8,1500,114.613
2022,8,4220,159.507
2022,8,7499,467.624
2022,8,7200,579.712
2022,8,8200,38.537
2022,8,7100,687.782
2022,8,1304,106.494
2022,8,5920,448.415
2022,8,1303,391.747
2022,8,4200,159.507
2022,8,1301,90.379
2022,8,3330,502.165
2022,8,5320,352.278
2022,8,3120,114.371
2022,8,3220,177.775
2022,8,3460,452.564
2022,8,5310,196.753
2022,8,5500,318.787
2022,8,3130,332.648
2022,8,3170,656.17
2022,8,3180,191.157
2022,8,5210,168.622
2022,8,5260,276.654
2022,8,3110,857.201
2022,8,3340,156.98
2022,8,3390,228.62
2022,8,5270,157.556
2022,8,5840,229.56
2022,8,1731,133.228
2022,8,2220,295.441
2022,8,3150,133.956
2022,8,7630,569.74
2022,8,1311,57.536
2022,8,2320,168.649
2022,8,2512,583.085
2022,8,5600,807.176
2022,8,1734,119.769
2022,8,3310,164.476
2022,8,2120,256.229
2022,8,3021,392.175
2022,8,3160,219.687
2022,8,3380,269.339
2022,8,7610,517.999
2022,8,1124,126.224
2022,8,3350,32.736
2022,8,5720,152.664
2022,8,1321,585.946
2022,8,3410,146.402
2022,8,3430,1077.88
2022,8,3440,180.175
2022,8,2210,193.39
2022,8,7620,1183.208
2022,8,1110,174.73
2022,8,1510,395.165
2022,8,1730,120.491
2022,8,7410,1273.245
2022,8,1201,71.64
2022,8,1710,98.697
2022,8,2100,256.229
2022,9,5140,295.339
2022,9,5280,16558
2022,9,3420,622.441
2022,9,2124,256.229
2022,9,3290,281.043
2022,9,3360,462.164
2022,9,3190,282.463
2022,9,3230,153.915
2022,9,3240,380.303
2022,9,3250,755.249
2022,9,3260,468.459
2022,9,3270,442.185
2022,9,3280,295.215
2022,9,3450,564.012
2022,9,3140,514.514
2022,9,1324,3.751
2022,9,7520,599.036
2022,9,7311,137.006
2022,9,7622,430.092
2022,9,4107,106.377
2022,9,2651,170.375
2022,9,8310,1162.359
2022,9,2221,281.762
2022,9,7110,758.551
2022,9,7730,748.795
2022,9,1736,119.769
2022,9,7740,784.521
2022,9,2653,52.984
2022,9,3352,522.708
2022,9,7411,849.827
2022,9,1125,129.362
2022,9,7640,800.468
2022,9,7632,723.43
2022,9,8320,100.796
2022,9,8210,656.915
2022,9,4104,156.63
2022,9,4105,375.58
2022,9,1230,820.898
2022,9,5110,148.779
2022,9,7500,433.362
2022,9,1320,109.053
2022,9,3020,392.175
2022,9,5130,234.895
2022,9,2200,295.461
2022,9,7210,856.112
2022,9,1310,106.254
2022,9,1410,4.026
2022,9,2510,142.169
2022,9,2520,118.181
2022,9,1120,126.224
2022,9,3010,276.988
2022,9,1420,104.424
2022,9,1520,114.603
2022,9,2300,185.175
2022,9,2223,284.444
2022,9,7510,437.123
2022,9,3134,310.607
2022,9,7213,579.682
2022,9,2522,209.306
2022,9,2310,420.402
2022,9,4102,101.573
2022,9,1521,117.457
2022,9,5841,292.199
2022,9,7211,109.519
2022,9,1314,966.899
2022,9,1522,114.464
2022,9,2710,18.585
2022,9,5111,164.295
2022,9,7412,1287.613
2022,9,1325,111.479
2022,9,1440,104.424
2022,9,1220,62.049
2022,9,5112,40.059
2022,9,2511,443.67
2022,9,1126,122.62
2022,9,7611,203.574
2022,9,7613,395.753
2022,9,2222,299.001
2022,9,7413,160.247
2022,9,4103,526.868
2022,9,7120,686.966
2022,9,4106,194.235
2022,9,8220,33.217
2022,9,7621,582.63
2022,9,6315,246.401
2022,9,3320,13.693
2022,9,3351,747.956
2022,9,4101,839.541
2022,9,3370,152.888
2022,9,5911,733.704
2022,9,1315,106.423
2022,9,2514,930.004
2022,9,7633,577.326
2022,9,8110,163.405
2022,9,2720,24.656
2022,9,1713,98.697
2022,9,1114,174.73
2022,9,7612,349.284
2022,9,7623,273.178
2022,9,4108,273.586
2022,9,5510,343.046
2022,9,5520,159.388
2022,9,1100,127.911
2022,9,1300,106.315
2022,9,1400,104.226
2022,9,5910,3.243
2022,9,1200,71.64
2022,9,1500,114.613
2022,9,4220,159.507
2022,9,7499,467.624
2022,9,7200,579.712
2022,9,8200,38.537
2022,9,7100,687.782
2022,9,1304,106.494
2022,9,5920,448.415
2022,9,1303,391.747
2022,9,4200,159.507
2022,9,1301,90.379
2022,9,3330,502.165
2022,9,5320,352.278
2022,9,3120,114.371
2022,9,3220,177.775
2022,9,3460,452.564
2022,9,5310,196.753
2022,9,5500,318.787
2022,9,3130,332.648
2022,9,3170,656.17
2022,9,3180,191.157
2022,9,5210,168.622
2022,9,5260,276.654
2022,9,3110,857.201
2022,9,3340,156.98
2022,9,3390,228.62
2022,9,5270,157.556
2022,9,5840,229.56
2022,9,1731,133.228
2022,9,2220,295.441
2022,9,3150,133.956
2022,9,7630,569.74
